State,Region
WA,Northwest
OR,Northwest
ID,Northwest
CA,West
NV,West
HI,Hawaii
AK,Alaska
MT,NorthRockies
WY,NorthRockies
ND,NorthRockies
SD,NorthRockies
NE,NorthRockies
UT,Southwest
AZ,Southwest
CO,Southwest
NM,Southwest
KS,South
OK,South
TX,South
AR,South
LA,South
MS,South
MN,UpperMidwest
IA,UpperMidwest
WI,UpperMidwest
MI,UpperMidwest
MO,Central
IL,Central
IN,Central
OH,Central
WV,Central
KY,Central
TN,Central
VA,Southeast
NC,Southeast
SC,Southeast
GA,Southeast
AL,Southeast
FL,Southeast
PA,Northeast
NY,Northeast
VT,Northeast
NH,Northeast
ME,Northeast
MA,Northeast
RI,Northeast
CT,Northeast
NJ,Northeast
DE,Northeast
MD,Northeast
DC,Northeast
PR,Unknown
VI,Unknown
GU,Unknown
AS,Unknown
NA,Unknown