"month","Region","n_ttl","n_del","p","N.h","se.p"
1,"Alaska",760,13,0.0171052631578947,29864,0.00464622084837384
1,"Central",20556,647,0.0314749951352403,831604,0.0012026645452854
1,"Hawaii",2134,1,0.000468603561387067,84487,0.000462647641479676
1,"Northeast",18379,373,0.0202949017900865,739887,0.00102714064378474
1,"NorthRockies",1514,23,0.0151915455746367,62213,0.00310604394984561
1,"Northwest",4265,46,0.0107854630715123,169003,0.00156172920774045
1,"Other",740,1,0.00135135135135135,31980,0.00133562507275882
1,"South",19366,348,0.0179696375090365,771294,0.000942543748904021
1,"Southeast",28892,356,0.0123217499653883,1153702,0.000640848563925096
1,"Southwest",13456,149,0.0110731272294887,535176,0.000890729449566671
1,"UpperMidwest",8024,132,0.0164506480558325,317368,0.00140204020843592
1,"West",20115,132,0.00656226696495153,805144,0.000562152465538812
2,"Alaska",639,6,0.00938967136150235,27282,0.00377328616110596
2,"Central",19176,536,0.0279516061743846,770266,0.00117545299614734
2,"Hawaii",1941,2,0.00103039670273055,77469,0.000719229545023945
2,"Northeast",17276,325,0.0188122250520954,688873,0.00102063841695102
2,"NorthRockies",1441,22,0.0152671755725191,57523,0.0031904231942072
2,"Northwest",3811,28,0.00734715297822094,154231,0.00136635233920096
2,"Other",708,1,0.00141242937853107,29166,0.00139518080989809
2,"South",17814,347,0.0194790614123723,710918,0.00102242947965719
2,"Southeast",27008,301,0.011144845971564,1079842,0.000630761310796983
2,"Southwest",12380,86,0.00694668820678514,496972,0.000737147782786068
2,"UpperMidwest",7278,131,0.0179994503984611,294650,0.00153914062978276
2,"West",18316,87,0.0047499454029264,739871,0.000501722606879514
3,"Alaska",744,7,0.00940860215053763,30395,0.0034981144951204
3,"Central",21797,384,0.0176171032710924,870426,0.000879857324388318
3,"Hawaii",2068,1,0.000483558994197292,83067,0.00047750181991577
3,"Northeast",19471,269,0.013815417800832,777759,0.00082598604332234
3,"NorthRockies",1584,12,0.00757575757575758,64016,0.0021521900341202
3,"Northwest",4430,23,0.00519187358916479,174341,0.00106608015358669
3,"Other",745,0,0,33427,0
3,"South",19856,381,0.0191881547139404,796584,0.000961375836460714
3,"Southeast",30851,346,0.0112151956176461,1229904,0.000591984474721218
3,"Southwest",14106,91,0.00645115553665107,561988,0.000665590044695165
3,"UpperMidwest",8568,102,0.0119047619047619,336271,0.00115675364745845
3,"West",20704,90,0.00434698608964451,828601,0.000451478175898327
4,"Alaska",769,5,0.00650195058517555,29409,0.0028620097555474
4,"Central",21132,285,0.0134866553094832,847595,0.000783539871078157
4,"Hawaii",2093,0,0,84050,0
4,"Northeast",19109,211,0.0110419174211105,760076,0.000746404925621461
4,"NorthRockies",1489,9,0.00604432505036938,60979,0.00198466762133136
4,"Northwest",4286,8,0.00186654223051797,170699,0.000651052394105822
4,"Other",756,2,0.00264550264550265,31738,0.00184701467635115
4,"South",19355,383,0.0197881684319297,772123,0.000988472817147582
4,"Southeast",29574,307,0.0103807398390478,1179869,0.000581953456578087
4,"Southwest",13032,73,0.00560159607120933,522881,0.000645604556216988
4,"UpperMidwest",8288,74,0.00892857142857143,327855,0.00102019890830864
4,"West",20052,43,0.0021444244963096,804071,0.00032257989764602
5,"Alaska",833,6,0.00720288115246098,34256,0.00289585028343893
5,"Central",21722,355,0.0163428781880122,872292,0.000849513568948767
5,"Hawaii",2209,1,0.000452693526482571,85325,0.000446795152769739
5,"Northeast",19243,205,0.0106532245491867,773881,0.000730839395777276
5,"NorthRockies",1627,13,0.00799016594960049,64421,0.00217982164700397
5,"Northwest",4655,4,0.000859291084854995,182081,0.00042398120663543
5,"Other",683,6,0.00878477306002928,30273,0.0035326598355138
5,"South",19856,510,0.0256849315068493,796688,0.00110859620005586
5,"Southeast",29267,359,0.0122663750982335,1180228,0.000635394867928925
5,"Southwest",13467,80,0.00594044701863815,539983,0.000653901303270843
5,"UpperMidwest",8556,151,0.0176484338475923,335563,0.00140529674450041
5,"West",20836,60,0.00287963140717988,832345,0.000366556120281438
6,"Alaska",1199,4,0.00333611342785655,46451,0.00164432519559975
6,"Central",23993,471,0.0196307256283083,954418,0.000884303147630371
6,"Hawaii",2239,0,0,92055,0
6,"Northeast",21293,411,0.0193021180669704,848590,0.000930987057982897
6,"NorthRockies",1973,17,0.00861632032437912,76752,0.00205434472559214
6,"Northwest",5336,14,0.00262368815592204,211981,0.000691484425208437
6,"Other",810,5,0.00617283950617284,34878,0.00272158056708078
6,"South",21668,701,0.0323518552704449,874003,0.00118701890996304
6,"Southeast",31344,805,0.0256827462991322,1266105,0.000882383210807635
6,"Southwest",14904,127,0.00852120236178207,595484,0.000743449188193866
6,"UpperMidwest",9213,185,0.0200803212851406,375039,0.00144345308090604
6,"West",22796,63,0.00276364274434111,911930,0.000343338939587061
7,"Alaska",1253,9,0.00718276137270551,49890,0.00235643164910093
7,"Central",24281,403,0.0165973394835468,978673,0.000809664650214338
7,"Hawaii",2576,1,0.000388198757763975,99112,0.000383120747347016
7,"Northeast",22142,478,0.0215879324360943,882563,0.00096438501155871
7,"NorthRockies",2097,16,0.00762994754411063,81907,0.00187616101534174
7,"Northwest",5474,12,0.00219218122031421,223126,0.000624388930368714
7,"Other",844,6,0.00710900473933649,37410,0.00286079194261504
7,"South",22441,621,0.0276725636112473,899021,0.00108126065906231
7,"Southeast",32972,819,0.0248392575518622,1308840,0.000846254406736368
7,"Southwest",15293,144,0.00941607271300595,618805,0.000771284215429445
7,"UpperMidwest",9751,175,0.0179468772433597,388911,0.00132753436617579
7,"West",23636,91,0.00385005923168049,945067,0.000397757492580263
8,"Alaska",1233,8,0.0064882400648824,48884,0.00225838119658298
8,"Central",24390,358,0.0146781467814678,978164,0.000760404320702465
8,"Hawaii",2370,3,0.00126582278481013,97265,0.000721559666983415
8,"Northeast",22071,360,0.0163109963300258,885694,0.000841953749567561
8,"NorthRockies",2129,17,0.00798496946923438,81707,0.00190404330610599
8,"Northwest",5490,16,0.0029143897996357,221543,0.000718529432360304
8,"Other",857,10,0.0116686114352392,35639,0.00362608951860699
8,"South",22478,501,0.0222884598273868,895827,0.000972205485312594
8,"Southeast",32972,641,0.0194407375955356,1299622,0.000750666472613114
8,"Southwest",15117,142,0.00939339816101078,614731,0.000774884293291096
8,"UpperMidwest",9444,102,0.0108005082592122,385242,0.00105055661547507
8,"West",23636,83,0.00351159248603825,943641,0.000379928672638824
9,"Alaska",965,9,0.00932642487046632,37531,0.00305582183614399
9,"Central",22807,185,0.00811154470118823,907040,0.000586447015330769
9,"Hawaii",2117,0,0,84121,0
9,"Northeast",20264,162,0.00799447295696802,809983,0.000617729631256272
9,"NorthRockies",1688,8,0.004739336492891,71190,0.00165218549615197
9,"Northwest",5014,9,0.00179497407259673,197959,0.000590227244541107
9,"Other",579,5,0.00863557858376511,26956,0.00380700494780902
9,"South",20663,273,0.0132120214876833,830236,0.000784400044142857
9,"Southeast",29819,311,0.0104295918709548,1190067,0.000580908136725219
9,"Southwest",14022,62,0.00442162316360006,559112,0.000553253024888543
9,"UpperMidwest",8662,76,0.00877395520664973,349216,0.000989568735247531
9,"West",22035,72,0.00326752893124575,875145,0.000379590085019732
10,"Alaska",961,7,0.0072840790842872,34790,0.00270633509146325
10,"Central",23556,205,0.0087026659874342,946021,0.000597600748248761
10,"Hawaii",2140,1,0.000467289719626168,86951,0.000461503530899401
10,"Northeast",21076,197,0.00934712469159233,846516,0.000654547469762838
10,"NorthRockies",1728,11,0.00636574074074074,69624,0.00188987984123204
10,"Northwest",4926,21,0.00426309378806334,198457,0.000916798064244943
10,"Other",626,1,0.00159744408945687,27883,0.00157941022217501
10,"South",21707,301,0.0138664946791358,867014,0.000783710166020595
10,"Southeast",31226,264,0.00845449305066291,1261505,0.000511689146359582
10,"Southwest",14418,51,0.00353724511027882,575626,0.000488222049086442
10,"UpperMidwest",8930,90,0.0100783874580067,364031,0.00104400187865602
10,"West",22701,88,0.0038764812122814,906929,0.000407247096989422
11,"Alaska",762,10,0.0131233595800525,31453,0.00407507965926076
11,"Central",22329,268,0.0120023288100676,886351,0.000719524091410788
11,"Hawaii",2193,3,0.00136798905608755,89143,0.000779677404931632
11,"Northeast",20068,197,0.00981662348016743,800987,0.000687207543362457
11,"NorthRockies",1603,22,0.0137242669993762,65303,0.00287088401243684
11,"Northwest",4518,40,0.00885347498893316,184906,0.0013766675901668
11,"Other",687,1,0.00145560407569141,30322,0.00143901992402074
11,"South",20759,252,0.0121393130690303,827598,0.000750474393258677
11,"Southeast",30724,283,0.00921104022913683,1229303,0.000538166883769702
11,"Southwest",13547,76,0.00561009817671809,545434,0.000633718860158312
11,"UpperMidwest",8572,99,0.0115492300513299,343921,0.00113961314745511
11,"West",21453,85,0.00396214981587657,858697,0.000423521558985589
12,"Alaska",824,15,0.0182038834951456,32910,0.00460136420255666
12,"Central",22118,735,0.0332308526991591,896751,0.00119027145813593
12,"Hawaii",2410,9,0.0037344398340249,94089,0.00122672551831602
12,"Northeast",20740,528,0.0254580520732883,815449,0.00107975347804743
12,"NorthRockies",1737,35,0.0201496833621186,68524,0.00332938283313475
12,"Northwest",4913,66,0.0134337472013027,193028,0.00162156399374656
12,"Other",833,3,0.00360144057623049,35325,0.00205215950012559
12,"South",20990,520,0.0247737017627442,856274,0.00105965131989145
12,"Southeast",31585,390,0.0123476333702707,1266717,0.000613588539112854
12,"Southwest",14403,226,0.0156911754495591,578082,0.00102259397497758
12,"UpperMidwest",8580,209,0.0243589743589744,347317,0.00164370732358556
12,"West",22198,159,0.00716280746013154,887454,0.000558898444206125
